Date,Open,High,Low,Close,Adj Close,Volume
9/27/2006,133.490005,133.970001,133.270004,133.740005,103.520325,82432200
9/28/2006,133.740005,133.990005,133.279999,133.690002,103.481606,58597500
9/29/2006,133.800003,133.940002,133.479996,133.580002,103.396469,47966600
10/2/2006,133.539993,133.830002,132.949997,133.080002,103.00943,51687400
10/3/2006,132.889999,133.869995,132.649994,133.360001,103.226166,73108100
10/4/2006,133.229996,135,133.080002,134.919998,104.433693,80890500
10/5/2006,134.919998,135.410004,134.75,135.179993,104.634933,60505900
10/6/2006,134.949997,135.100006,134.399994,135.009995,104.503342,64983600
10/9/2006,134.850006,135.300003,134.639999,135.089996,104.565247,41176800
10/10/2006,135.100006,135.449997,134.839996,135.270004,104.704597,56403700
10/11/2006,134.839996,135.429993,134.300003,135.110001,104.580765,104071800
10/12/2006,135.449997,136.389999,135.399994,136.279999,105.486382,59158600
10/13/2006,136.160004,136.710007,136.039993,136.630005,105.757324,53944000
10/16/2006,136.520004,137.050003,136.419998,136.839996,105.919868,42273000
10/17/2006,136.470001,136.699997,135.669998,136.410004,105.586998,90500600
10/18/2006,137.039993,137.369995,136.100006,136.589996,105.726311,86848600
10/19/2006,136.389999,136.880005,136.229996,136.809998,105.896622,64063200
10/20/2006,136.839996,136.949997,136.330002,136.839996,105.919868,48094500
10/23/2006,136.559998,137.800003,136.389999,137.470001,106.407471,66219900
10/24/2006,137.279999,137.929993,137.220001,137.880005,106.724861,53234900
10/25/2006,137.740005,138.410004,137.509995,138.350006,107.088669,78105400
10/26/2006,138.660004,139,137.979996,138.779999,107.421486,66843700
10/27/2006,138.610001,138.75,137.630005,137.910004,106.74807,80238000
10/30/2006,137.660004,138.199997,137.399994,137.809998,106.670677,49717800
10/31/2006,138.070007,138.259995,137.25,137.789993,106.65522,71274100
11/1/2006,138.220001,138.309998,136.720001,136.860001,105.935349,83005600
11/2/2006,136.509995,137.009995,136.360001,136.779999,105.873405,60693100
11/3/2006,137.270004,137.389999,135.619995,136.539993,105.687645,71346400
11/6/2006,136.960007,138.279999,136.949997,138.080002,106.879662,63303300
11/7/2006,138.199997,138.979996,138,138.610001,107.289917,63318900
11/8/2006,138,139.050003,136.860001,138.910004,107.522125,87517800
11/9/2006,139.009995,139.139999,137.899994,138.179993,106.957069,95916300
11/10/2006,138.139999,138.339996,137.720001,138.240005,107.003517,48991500
11/13/2006,138.179993,139.039993,138.070007,138.580002,107.266685,59398200
11/14/2006,138.970001,139.740005,138.119995,139.619995,108.071678,96704000
11/15/2006,139.570007,140.449997,139.529999,140.020004,108.381302,76509600
11/16/2006,140.440002,140.679993,139.490005,140.380005,108.659943,76728800
11/17/2006,139.929993,140.429993,139.729996,140.419998,108.69088,56353800
11/20/2006,140.300003,140.740005,139.940002,140.5,108.752861,69174200
11/21/2006,140.490005,140.669998,140.289993,140.639999,108.861221,51367900
11/22/2006,140.75,141.160004,140.5,140.919998,109.077957,45505300
11/24/2006,140.240005,140.839996,140.199997,140.350006,108.636734,30998000
11/27/2006,140.279999,140.350006,138.380005,138.419998,107.142799,84545100
11/28/2006,138.240005,139.160004,138.110001,139.020004,107.607285,106652900
11/29/2006,139.470001,140.529999,139.080002,140.470001,108.729599,90034900
11/30/2006,140.440002,141.050003,139.759995,140.529999,108.776047,83994300
12/1/2006,140.529999,140.660004,138.970001,140.220001,108.536095,126080000
12/4/2006,140.25,141.550003,140.229996,141.289993,109.364319,87813200
12/5/2006,141.559998,141.960007,141.259995,141.899994,109.836487,73374400
12/6/2006,141.869995,142.070007,141.5,141.779999,109.743622,53253200
12/7/2006,142.029999,142.300003,141.110001,141.160004,109.263702,62857400
12/8/2006,141.130005,141.899994,140.779999,141.419998,109.464951,79625500
12/11/2006,141.419998,142.089996,141.339996,141.830002,109.782326,39779400
12/12/2006,141.690002,141.869995,140.889999,141.720001,109.697174,77451600
12/13/2006,142.229996,142.339996,141.559998,141.869995,109.813255,55520200
12/14/2006,141.860001,143.240005,141.839996,143.119995,110.78083,64755200
12/15/2006,142.639999,142.889999,142.240005,142.339996,110.790947,70857400
12/18/2006,142.539993,142.880005,141.75,141.949997,110.487411,48954600
12/19/2006,141.550003,142.559998,141.190002,142.220001,110.697571,65023600
12/20/2006,142.279999,142.660004,142.009995,142.139999,110.635239,41469600
12/21/2006,142.270004,142.429993,141.320007,141.619995,110.230515,48698400
12/22/2006,141.639999,141.649994,140.669998,140.75,109.553352,62069100
12/26/2006,140.809998,141.610001,140.779999,141.580002,110.199379,32696900
12/27/2006,141.869995,142.600006,141.830002,142.509995,110.923271,39727100
12/28/2006,142.410004,142.699997,141.990005,142.210007,110.689789,37288800
12/29/2006,142.059998,142.539993,141.429993,141.619995,110.230515,45461200
1/3/2007,142.25,142.860001,140.570007,141.369995,110.035965,94807600
1/4/2007,141.229996,142.050003,140.610001,141.669998,110.26944,69620600
1/5/2007,141.330002,141.399994,140.380005,140.539993,109.389923,76645300
1/8/2007,140.820007,141.410004,140.25,141.190002,109.895844,71655000
1/9/2007,141.309998,141.600006,140.399994,141.070007,109.80246,75680100
1/10/2007,140.580002,141.570007,140.300003,141.539993,110.168274,72428000
1/11/2007,141.580002,142.619995,141.5,142.160004,110.650841,54476800
1/12/2007,142.149994,143.240005,142.110001,143.240005,111.491463,55370600
1/16/2007,143.070007,143.440002,142.729996,142.960007,111.273537,44871300
1/17/2007,142.850006,143.460007,142.729996,143.020004,111.320221,50241400
1/18/2007,143.169998,143.259995,142.309998,142.539993,110.946617,68177300
1/19/2007,142.539993,143.100006,142.460007,142.820007,111.164558,56973000
1/22/2007,143.070007,143.100006,141.929993,142.380005,110.82209,60253600
1/23/2007,142.259995,143.080002,142.059998,142.800003,111.148987,54064400
1/24/2007,142.970001,143.979996,142.910004,143.949997,112.044106,55834700
1/25/2007,143.860001,143.919998,142.009995,142.259995,110.728683,73583800
1/26/2007,142.570007,142.649994,141.580002,142.130005,110.627487,67255600
1/29/2007,142.190002,142.800003,141.740005,142.050003,110.565239,66114600
1/30/2007,142.350006,142.860001,142.059998,142.789993,111.14122,70407600
1/31/2007,142.630005,144.130005,142.399994,143.75,111.88842,91868600
2/1/2007,144.149994,144.660004,143.910004,144.610001,112.557823,69312400
2/2/2007,144.729996,144.949997,144.380005,144.809998,112.713501,49607000
2/5/2007,144.699997,144.940002,144.339996,144.850006,112.744629,45705300
2/6/2007,144.970001,145.029999,144.330002,144.889999,112.775772,57081300
2/7/2007,145.119995,145.360001,144.570007,145.210007,113.024849,55669700
2/8/2007,144.779999,145.119995,144.270004,145.020004,112.87693,70641000
2/9/2007,145.059998,145.330002,143.389999,143.940002,112.036308,79084400
2/12/2007,143.940002,144.039993,143.190002,143.449997,111.65493,65657000
2/13/2007,143.770004,144.899994,143.759995,144.660004,112.596703,64081800
2/14/2007,144.800003,145.899994,144.779999,145.610001,113.336159,66039400
2/15/2007,145.669998,145.949997,145.429993,145.800003,113.484077,38715200
2/16/2007,145.440002,145.759995,145.229996,145.729996,113.429581,39841800
2/20/2007,145.559998,146.199997,145,146.039993,113.670807,56911800
2/21/2007,145.610001,146.070007,145.350006,145.979996,113.624184,63971600
2/22/2007,146.050003,146.419998,145.169998,145.869995,113.538506,79067400
2/23/2007,145.740005,145.789993,145.029999,145.300003,113.094856,71966200
2/26/2007,145.830002,145.949997,144.75,145.169998,112.993668,69192800
2/27/2007,143.880005,144.199997,139,139.5,108.580421,274466500
2/28/2007,140.389999,141.979996,139.800003,140.929993,109.693428,177536300
3/1/2007,139.339996,141.25,138.050003,140.509995,109.366585,212828600
3/2/2007,140.050003,140.660004,138.660004,138.669998,107.93438,162574000
3/5/2007,137.929993,139.580002,137.330002,137.350006,106.906967,143750400
3/6/2007,138.779999,140.119995,137.720001,139.699997,108.736046,143333300
